Message;ID;Node;ID-Format;DLC [Byte];Tx Method;Cycle Time;Comment;TpTxIndex;NmMessage;GenMsgStartDelayTime;GenMsgSendType;GenMsgNrOfRepetition;GenMsgILSupport;GenMsgFastOnStart;GenMsgDelayTime;GenMsgCycleTimeFast;GenMsgCycleTime;DiagState;DiagResponse;DiagRequest
Obstacle_Data_A;0x739;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_B;0x73A;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_C;0x73B;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_D;0x73C;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_E;0x73D;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_F;0x73E;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_G;0x73F;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_H;0x740;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_I;0x741;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_J;0x742;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_K;0x743;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_L;0x744;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_M;0x745;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_N;0x746;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_O;0x747;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_P;0x748;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_Q;0x749;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_R;0x74A;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_S;0x74B;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_T;0x74C;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_U;0x74D;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_V;0x74E;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_W;0x74F;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Data_X;0x750;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Obstacle_Status;0x738;Gen;CAN Standard;6;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Reference_points;0x76A;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
Sign_Type;0x727;Gen;CAN Standard;8;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
TSR_message_A;0x720;Gen;CAN Standard;6;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
TSR_message_B;0x721;Gen;CAN Standard;6;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
TSR_message_C;0x722;Gen;CAN Standard;6;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
TSR_message_D;0x723;Gen;CAN Standard;6;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
TSR_message_E;0x724;Gen;CAN Standard;6;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
TSR_message_F;0x725;Gen;CAN Standard;6;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
TSR_message_G;0x726;Gen;CAN Standard;6;Cyclic;20;;0;No;0;Cyclic;0;Yes;0;0;0;20;No;No;No
